id,priority,municipality,pillar,primary_keyword_en,primary_keyword_es,url,requirement,release_status,index_policy
"1","P1","Aguadilla","business","automotive services in Aguadilla","servicios automotrices en Aguadilla","https://spotlightpuertorico.com/puerto-rico/aguadilla/automotive/","2 approved automotive listings","live","index"
"2","P1","Aguadilla","tourism","beaches near Aguadilla","playas cerca de Aguadilla","https://spotlightpuertorico.com/puerto-rico/aguadilla/beaches/","2 documented beaches with access and safety details","live","index"
"3","P1","Aguadilla","business","beauty and spa in Aguadilla","belleza y spa en Aguadilla","https://spotlightpuertorico.com/puerto-rico/aguadilla/beauty-and-spa/","2 approved beauty or spa listings","live","index"
"4","P1","Aguadilla","food","cafes and bakeries in Aguadilla","cafés y panaderías en Aguadilla","https://spotlightpuertorico.com/puerto-rico/aguadilla/cafes-and-bakeries/","2 approved café or bakery listings","live","index"
"5","P1","Aguadilla","tourism","family things to do in Aguadilla","actividades familiares en Aguadilla","https://spotlightpuertorico.com/puerto-rico/aguadilla/family-activities/","3 documented family-suitable activities","live","index"
"6","P1","Aguadilla","business","home services in Aguadilla","servicios para el hogar en Aguadilla","https://spotlightpuertorico.com/puerto-rico/aguadilla/home-services/","2 approved home-service listings","live","index"
"7","P1","Aguadilla","business","local businesses in Aguadilla","negocios locales en Aguadilla","https://spotlightpuertorico.com/puerto-rico/aguadilla/local-businesses/","4 approved listings across at least 2 categories","live","index"
"8","P1","Aguadilla","business","professional services in Aguadilla","servicios profesionales en Aguadilla","https://spotlightpuertorico.com/puerto-rico/aguadilla/professional-services/","2 approved professional-service listings","live","index"
"9","P1","Aguadilla","food","restaurants in Aguadilla","restaurantes en Aguadilla","https://spotlightpuertorico.com/puerto-rico/aguadilla/restaurants/","2 approved restaurant listings","live","index"
"10","P1","Aguadilla","business","services near me in Aguadilla","servicios cerca de mí en Aguadilla","https://spotlightpuertorico.com/puerto-rico/aguadilla/services/","3 approved service listings across at least 2 categories","live","index"
"11","P1","Aguadilla","shopping","shopping in Aguadilla Puerto Rico","dónde comprar en Aguadilla Puerto Rico","https://spotlightpuertorico.com/puerto-rico/aguadilla/shopping/","2 approved retail listings","live","index"
"12","P1","Aguadilla","tourism","things to do in Aguadilla","qué hacer en Aguadilla","https://spotlightpuertorico.com/puerto-rico/aguadilla/things-to-do/","3 approved activities or attractions with distinct descriptions","live","index"
"13","P1","Aguadilla","tourism","tours in Aguadilla Puerto Rico","tours en Aguadilla Puerto Rico","https://spotlightpuertorico.com/puerto-rico/aguadilla/tours-and-experiences/","2 approved tours or bookable experiences","live","index"
"14","P1","Arecibo","business","automotive services in Arecibo","servicios automotrices en Arecibo","https://spotlightpuertorico.com/puerto-rico/arecibo/automotive/","2 approved automotive listings","live","index"
"15","P1","Arecibo","tourism","beaches near Arecibo","playas cerca de Arecibo","https://spotlightpuertorico.com/puerto-rico/arecibo/beaches/","2 documented beaches with access and safety details","live","index"
"16","P1","Arecibo","business","beauty and spa in Arecibo","belleza y spa en Arecibo","https://spotlightpuertorico.com/puerto-rico/arecibo/beauty-and-spa/","2 approved beauty or spa listings","live","index"
"17","P1","Arecibo","food","cafes and bakeries in Arecibo","cafés y panaderías en Arecibo","https://spotlightpuertorico.com/puerto-rico/arecibo/cafes-and-bakeries/","2 approved café or bakery listings","live","index"
"18","P1","Arecibo","tourism","family things to do in Arecibo","actividades familiares en Arecibo","https://spotlightpuertorico.com/puerto-rico/arecibo/family-activities/","3 documented family-suitable activities","live","index"
"19","P1","Arecibo","business","home services in Arecibo","servicios para el hogar en Arecibo","https://spotlightpuertorico.com/puerto-rico/arecibo/home-services/","2 approved home-service listings","live","index"
"20","P1","Arecibo","business","local businesses in Arecibo","negocios locales en Arecibo","https://spotlightpuertorico.com/puerto-rico/arecibo/local-businesses/","4 approved listings across at least 2 categories","live","index"
"21","P1","Arecibo","business","professional services in Arecibo","servicios profesionales en Arecibo","https://spotlightpuertorico.com/puerto-rico/arecibo/professional-services/","2 approved professional-service listings","live","index"
"22","P1","Arecibo","food","restaurants in Arecibo","restaurantes en Arecibo","https://spotlightpuertorico.com/puerto-rico/arecibo/restaurants/","2 approved restaurant listings","live","index"
"23","P1","Arecibo","business","services near me in Arecibo","servicios cerca de mí en Arecibo","https://spotlightpuertorico.com/puerto-rico/arecibo/services/","3 approved service listings across at least 2 categories","live","index"
"24","P1","Arecibo","shopping","shopping in Arecibo Puerto Rico","dónde comprar en Arecibo Puerto Rico","https://spotlightpuertorico.com/puerto-rico/arecibo/shopping/","2 approved retail listings","live","index"
"25","P1","Arecibo","tourism","things to do in Arecibo","qué hacer en Arecibo","https://spotlightpuertorico.com/puerto-rico/arecibo/things-to-do/","3 approved activities or attractions with distinct descriptions","live","index"
"26","P1","Arecibo","tourism","tours in Arecibo Puerto Rico","tours en Arecibo Puerto Rico","https://spotlightpuertorico.com/puerto-rico/arecibo/tours-and-experiences/","2 approved tours or bookable experiences","live","index"
"27","P1","Bayamón","business","automotive services in Bayamón","servicios automotrices en Bayamón","https://spotlightpuertorico.com/puerto-rico/bayamon/automotive/","2 approved automotive listings","live","index"
"28","P1","Bayamón","tourism","beaches near Bayamón","playas cerca de Bayamón","https://spotlightpuertorico.com/puerto-rico/bayamon/beaches/","2 documented beaches with access and safety details","live","index"
"29","P1","Bayamón","business","beauty and spa in Bayamón","belleza y spa en Bayamón","https://spotlightpuertorico.com/puerto-rico/bayamon/beauty-and-spa/","2 approved beauty or spa listings","live","index"
"30","P1","Bayamón","food","cafes and bakeries in Bayamón","cafés y panaderías en Bayamón","https://spotlightpuertorico.com/puerto-rico/bayamon/cafes-and-bakeries/","2 approved café or bakery listings","live","index"
"31","P1","Bayamón","tourism","family things to do in Bayamón","actividades familiares en Bayamón","https://spotlightpuertorico.com/puerto-rico/bayamon/family-activities/","3 documented family-suitable activities","live","index"
"32","P1","Bayamón","business","home services in Bayamón","servicios para el hogar en Bayamón","https://spotlightpuertorico.com/puerto-rico/bayamon/home-services/","2 approved home-service listings","live","index"
"33","P1","Bayamón","business","local businesses in Bayamón","negocios locales en Bayamón","https://spotlightpuertorico.com/puerto-rico/bayamon/local-businesses/","4 approved listings across at least 2 categories","live","index"
"34","P1","Bayamón","business","professional services in Bayamón","servicios profesionales en Bayamón","https://spotlightpuertorico.com/puerto-rico/bayamon/professional-services/","2 approved professional-service listings","live","index"
"35","P1","Bayamón","food","restaurants in Bayamón","restaurantes en Bayamón","https://spotlightpuertorico.com/puerto-rico/bayamon/restaurants/","2 approved restaurant listings","live","index"
"36","P1","Bayamón","business","services near me in Bayamón","servicios cerca de mí en Bayamón","https://spotlightpuertorico.com/puerto-rico/bayamon/services/","3 approved service listings across at least 2 categories","live","index"
"37","P1","Bayamón","shopping","shopping in Bayamón Puerto Rico","dónde comprar en Bayamón Puerto Rico","https://spotlightpuertorico.com/puerto-rico/bayamon/shopping/","2 approved retail listings","live","index"
"38","P1","Bayamón","tourism","things to do in Bayamón","qué hacer en Bayamón","https://spotlightpuertorico.com/puerto-rico/bayamon/things-to-do/","3 approved activities or attractions with distinct descriptions","live","index"
